week_start,approving,disapproving,unsure_or_no_data,BusinessApplications,ConstructionSpending,DurableGoodsNewOrders,InternationalTrade_Exports,ManuInventories,ManuNewOrders,NewHomesForSale,NewHomesSold,ResConstPermits,ResConstUnitsCompleted,ResConstUnitsStarted,RetailInventories,SalesForRetailAndFood,WholesaleInventories,orders_outcome_var
2016-02-28,48.2,47.8,4.0,240991,1172851,217223,183033,632050,431196,239,517,1172,1037,1225,592930,451898,593043,5
2016-02-14,48.2,47.8,4.0,240991,1172851,217223,183033,632050,431196,239,517,1172,1037,1225,592930,451898,593043,5
2016-02-07,48.2,47.8,4.0,240991,1172851,217223,183033,632050,431196,239,517,1172,1037,1225,592930,451898,593043,10
2005-12-04,42.25,54.0,3.75,234221,1184677,221499,113822,474639,422981,511,1239,2120,1941,1994,471700,347405,367822,0
2005-12-11,42.25,54.0,3.75,234221,1184677,221499,113822,474639,422981,511,1239,2120,1941,1994,471700,347405,367822,0
2005-12-25,42.25,54.0,3.75,234221,1184677,221499,113822,474639,422981,511,1239,2120,1941,1994,471700,347405,367822,8
2005-12-18,42.25,54.0,3.75,234221,1184677,221499,113822,474639,422981,511,1239,2120,1941,1994,471700,347405,367822,4
2006-03-19,36.5,59.5,4.0,222573,1205169,227188,118821,486076,430457,552,1116,2118,2245,1969,479481,355665,374722,0
2006-03-12,36.5,59.5,4.0,222573,1205169,227188,118821,486076,430457,552,1116,2118,2245,1969,479481,355665,374722,0
2006-03-26,36.5,59.5,4.0,222573,1205169,227188,118821,486076,430457,552,1116,2118,2245,1969,479481,355665,374722,0
2006-03-05,36.5,59.5,4.0,222573,1205169,227188,118821,486076,430457,552,1116,2118,2245,1969,479481,355665,374722,2
2006-02-19,39.666666666666664,57.0,3.333333333333333,225936,1205639,219738,116871,481048,421074,539,1061,2141,2048,2119,473254,354706,372985,0
2006-02-12,39.666666666666664,57.0,3.333333333333333,225936,1205639,219738,116871,481048,421074,539,1061,2141,2048,2119,473254,354706,372985,0
2006-02-26,39.666666666666664,57.0,3.333333333333333,225936,1205639,219738,116871,481048,421074,539,1061,2141,2048,2119,473254,354706,372985,0
2006-02-05,39.666666666666664,57.0,3.333333333333333,225936,1205639,219738,116871,481048,421074,539,1061,2141,2048,2119,473254,354706,372985,3
2016-06-19,51.75,44.5,3.75,216685,1217604,207430,186833,631496,430261,244,557,1208,1109,1203,602008,458711,601997,0
2016-06-05,51.75,44.5,3.75,216685,1217604,207430,186833,631496,430261,244,557,1208,1109,1203,602008,458711,601997,0
2016-06-12,51.75,44.5,3.75,216685,1217604,207430,186833,631496,430261,244,557,1208,1109,1203,602008,458711,601997,0
2016-06-26,51.75,44.5,3.75,216685,1217604,207430,186833,631496,430261,244,557,1208,1109,1203,602008,458711,601997,4
2016-08-28,51.6,44.4,4.0,248127,1221250,218051,190173,633118,438959,240,575,1201,1054,1171,603753,458375,600123,0
2016-08-07,51.6,44.4,4.0,248127,1221250,218051,190173,633118,438959,240,575,1201,1054,1171,603753,458375,600123,5
2016-08-14,51.6,44.4,4.0,248127,1221250,218051,190173,633118,438959,240,575,1201,1054,1171,603753,458375,600123,15
2016-08-21,51.6,44.4,4.0,248127,1221250,218051,190173,633118,438959,240,575,1201,1054,1171,603753,458375,600123,5
2016-11-13,55.75,41.25,3.0,253205,1264881,215307,187654,634618,437433,248,571,1230,1244,1140,610761,462231,607785,0
2016-11-20,55.75,41.25,2.9999999999999996,253205,1264881,215307,187654,634618,437433,248,571,1230,1244,1140,610761,462231,607785,8
2016-11-27,55.75,41.25,3.0,253205,1264881,215307,187654,634618,437433,248,571,1230,1244,1140,610761,462231,607785,8
2016-11-06,55.75,41.25,2.9999999999999996,253205,1264881,215307,187654,634618,437433,248,571,1230,1244,1140,610761,462231,607785,8
2016-12-18,56.0,40.0,4.0,261125,1270443,219170,192583,635803,447970,254,561,1248,1101,1252,610018,467852,611409,0
2016-12-11,56.0,40.0,3.9999999999999996,261125,1270443,219170,192583,635803,447970,254,561,1248,1101,1252,610018,467852,611409,12
2016-12-04,56.0,40.0,3.9999999999999996,261125,1270443,219170,192583,635803,447970,254,561,1248,1101,1252,610018,467852,611409,8
2016-12-25,56.0,40.0,4.0,261125,1270443,219170,192583,635803,447970,254,561,1248,1101,1252,610018,467852,611409,8
2017-08-13,36.0,58.75,5.25,269557,1274043,222295,198957,645135,453565,281,556,1319,1107,1159,624657,474449,626610,0
2017-08-06,36.0,58.75,5.25,269557,1274043,222295,198957,645135,453565,281,556,1319,1107,1159,624657,474449,626610,0
2017-08-27,36.000000000000007,58.75,5.25,269557,1274043,222295,198957,645135,453565,281,556,1319,1107,1159,624657,474449,626610,8
2017-08-20,36.0,58.75,5.25,269557,1274043,222295,198957,645135,453565,281,556,1319,1107,1159,624657,474449,626610,4
2017-03-19,39.75,55.0,5.25,261882,1274466,223132,196213,637901,452140,265,632,1272,1147,1190,616281,472149,613377,0
2017-03-26,39.749999999999993,54.999999999999993,5.25,261882,1274466,223132,196213,637901,452140,265,632,1272,1147,1190,616281,472149,613377,8
2017-03-12,39.75,55.0,5.25,261882,1274466,223132,196213,637901,452140,265,632,1272,1147,1190,616281,472149,613377,4
2017-03-05,39.75,55.0,5.25,261882,1274466,223132,196213,637901,452140,265,632,1272,1147,1190,616281,472149,613377,4
2017-06-11,38.25,56.75,5.0,267687,1277442,236645,197990,638464,464508,274,619,1353,1236,1249,620724,473546,619549,0
2017-06-04,38.25,56.75,5.0,267687,1277442,236645,197990,638464,464508,274,619,1353,1236,1249,620724,473546,619549,0
2017-06-25,38.25,56.75,5.0,267687,1277442,236645,197990,638464,464508,274,619,1353,1236,1249,620724,473546,619549,4
2017-06-18,38.25,56.75,5.0,267687,1277442,236645,197990,638464,464508,274,619,1353,1236,1249,620724,473546,619549,4
2017-05-21,39.4,55.0,5.6,261688,1282119,222436,195533,638444,450239,271,635,1208,1170,1157,617232,471630,614476,0
2017-05-28,39.4,55.0,5.6,261688,1282119,222436,195533,638444,450239,271,635,1208,1170,1157,617232,471630,614476,0
2017-05-07,39.4,55.0,5.6,261688,1282119,222436,195533,638444,450239,271,635,1208,1170,1157,617232,471630,614476,5
2017-05-14,39.4,55.0,5.6,261688,1282119,222436,195533,638444,450239,271,635,1208,1170,1157,617232,471630,614476,10
2018-11-11,39.75,56.25,4.0,291111,1301200,232640,211474,678366,477751,334,625,1340,1131,1181,645138,507278,663998,0
2018-11-25,39.75,56.25,4.0,291111,1301200,232640,211474,678366,477751,334,625,1340,1131,1181,645138,507278,663998,4
2018-11-04,39.75,56.25,4.0,291111,1301200,232640,211474,678366,477751,334,625,1340,1131,1181,645138,507278,663998,0
2018-11-18,39.75,56.25,4.0,291111,1301200,232640,211474,678366,477751,334,625,1340,1131,1181,645138,507278,663998,0
2017-11-12,37.0,57.0,6.0,282409,1309300,229799,206890,655370,470852,287,711,1299,1182,1273,622686,490013,631673,0
2017-11-26,37.0,57.0,6.0,282409,1309300,229799,206890,655370,470852,287,711,1299,1182,1273,622686,490013,631673,0
2017-11-19,37.0,57.0,6.0,282409,1309300,229799,206890,655370,470852,287,711,1299,1182,1273,622686,490013,631673,0
2017-11-05,37.0,57.0,6.0,282409,1309300,229799,206890,655370,470852,287,711,1299,1182,1273,622686,490013,631673,0
2019-02-17,43.5,53.0,3.5,298710,1312163,227669,212675,685827,471512,340,648,1287,1304,1121,657229,500928,679840,0
2019-02-24,43.5,53.0,3.5,298710,1312163,227669,212675,685827,471512,340,648,1287,1304,1121,657229,500928,679840,0
2019-02-03,43.5,53.0,3.5,298710,1312163,227669,212675,685827,471512,340,648,1287,1304,1121,657229,500928,679840,2
2019-02-10,43.5,53.0,3.5,298710,1312163,227669,212675,685827,471512,340,648,1287,1304,1121,657229,500928,679840,2
2018-08-19,40.75,53.75,5.5,296025,1340123,243656,211044,673312,494392,319,593,1273,1262,1288,640325,501962,653709,0
2018-08-12,40.75,53.75,5.5,296025,1340123,243656,211044,673312,494392,319,593,1273,1262,1288,640325,501962,653709,0
2018-08-26,40.75,53.75,5.5,296025,1340123,243656,211044,673312,494392,319,593,1273,1262,1288,640325,501962,653709,0
2018-08-05,40.75,53.75,5.5,296025,1340123,243656,211044,673312,494392,319,593,1273,1262,1288,640325,501962,653709,4
2018-02-04,38.75,56.75,4.5,285084,1356385,235442,210459,664125,479219,296,618,1321,1288,1277,628508,493334,643096,0
2018-02-11,38.75,56.75,4.5,285084,1356385,235442,210459,664125,479219,296,618,1321,1288,1277,628508,493334,643096,0
2018-02-18,38.75,56.75,4.5,285084,1356385,235442,210459,664125,479219,296,618,1321,1288,1277,628508,493334,643096,0
2018-02-25,38.75,56.75,4.5,285084,1356385,235442,210459,664125,479219,296,618,1321,1288,1277,628508,493334,643096,4
2018-05-13,41.5,54.0,4.5,293321,1361079,241312,215630,665721,490164,301,662,1338,1262,1357,631939,500930,644392,8
2018-05-27,41.5,54.0,4.5,293321,1361079,241312,215630,665721,490164,301,662,1338,1262,1357,631939,500930,644392,16
2018-05-20,41.5,54.0,4.5,293321,1361079,241312,215630,665721,490164,301,662,1338,1262,1357,631939,500930,644392,8
2018-05-06,41.5,54.0,4.5,293321,1361079,241312,215630,665721,490164,301,662,1338,1262,1357,631939,500930,644392,4
2019-05-26,41.0,53.5,5.5,287522,1364165,220441,214977,691512,464322,336,618,1347,1221,1293,659012,512930,686603,0
2019-05-19,41.0,53.5,5.5,287522,1364165,220441,214977,691512,464322,336,618,1347,1221,1293,659012,512930,686603,0
2019-05-05,41.0,53.5,5.5,287522,1364165,220441,214977,691512,464322,336,618,1347,1221,1293,659012,512930,686603,4
2019-05-12,41.0,53.5,5.5,287522,1364165,220441,214977,691512,464322,336,618,1347,1221,1293,659012,512930,686603,4
2019-07-07,43.0,52.5,4.5,280515,1412161,224705,212170,697528,464634,328,648,1352,1215,1240,661839,518274,686770,0
2019-07-21,43.0,52.5,4.5,280515,1412161,224705,212170,697528,464634,328,648,1352,1215,1240,661839,518274,686770,0
2019-07-28,43.0,52.5,4.5,280515,1412161,224705,212170,697528,464634,328,648,1352,1215,1240,661839,518274,686770,2
2019-07-14,43.0,52.5,4.5,280515,1412161,224705,212170,697528,464634,328,648,1352,1215,1240,661839,518274,686770,6
2019-10-13,40.0,57.0,3.0,297647,1440792,221854,211584,702426,456077,320,722,1525,1289,1325,663029,519795,680236,8
2019-10-06,40.0,57.0,3.0,297647,1440792,221854,211584,702426,456077,320,722,1525,1289,1325,663029,519795,680236,2
2019-10-20,40.0,57.0,3.0,297647,1440792,221854,211584,702426,456077,320,722,1525,1289,1325,663029,519795,680236,2
2019-10-27,40.0,57.0,3.0,297647,1440792,221854,211584,702426,456077,320,722,1525,1289,1325,663029,519795,680236,2
